Title,Consoles,Genre(s),Developer,Release Date,Price
Elden Ring,"PS5, PS4","RPG, Action",FromSoftware,2022-02-25,59.99
God of War Ragnarök,"PS5, PS4","Action, Adventure",Santa Monica Studio,2022-11-09,69.99
Ratchet & Clank: Rift Apart,PS5,"Platformer, Adventure",Insomniac Games,2021-06-11,49.99
The Last of Us Part II,PS4,"Action, Horror",Naughty Dog,2020-06-19,39.99
Bloodborne,PS4,"RPG, Horror",FromSoftware,2015-03-24,19.99
Gran Turismo 7,"PS5, PS4","Racing, Sports",Polyphony Digital,2022-03-04,69.99
Metal Gear Solid 4,PS3,"Action, Adventure",Kojima Productions,2008-06-12,14.99
Uncharted 2: Among Thieves,PS3,"Adventure, Action",Naughty Dog,2009-10-13,9.99
Demon's Souls,"PS5, PS3","RPG, Action",Bluepoint / FromSoftware,2020-11-12,69.99
Persona 5 Royal,"PS5, PS4",RPG,Atlus,2020-03-31,59.99
